title	year	url	semanticscholar_tldr	use	citation_count	abstract	semanticscholar_id	bibtex
Word Sense Distance in Human Similarity Judgements and Contextualised Word Embeddings	2020	http://www.semanticscholar.org/paper/95c664af5ec33be07cba1031b331841acfc69144	A recent model of polyseme sense clustering proposed by Ortega-Andres & Vicente (2019) is investigated through analysing empirical evidence of word sense grouping in human similarity judgements and the evaluation of context-sensitive word embedding systems is extended.	maybe	5	Homonymy is often used to showcase one of the advantages of context-sensitive word embedding techniques such as ELMo and BERT. In this paper we want to shift the focus to the related but less exhaustively explored phenomenon of polysemy, where a word expresses various distinct but related senses in different contexts. Specifically, we aim to i) investigate a recent model of polyseme sense clustering proposed by Ortega-Andres & Vicente (2019) through analysing empirical evidence of word sense grouping in human similarity judgements, ii) extend the evaluation of context-sensitive word embedding systems by examining whether they encode differences in word sense similarity and iii) compare the word sense similarities of both methods to assess their correlation and gain some intuition as to how well contextualised word embeddings could be used as surrogate word sense similarity judgements in linguistic experiments.	95c664af5ec33be07cba1031b331841acfc69144	@['Conference']{haber-poesio-2020-word,  author = {J. Haber and Massimo Poesio},  booktitle = {Passive and Active Network Measurement Conference},  title = {Word Sense Distance in Human Similarity Judgements and Contextualised Word Embeddings},  year = {2020} }
Word Order Matters when you Increase Masking	2022	http://www.semanticscholar.org/paper/ca0f43ae0e80deeac39b71822e63928b56031132	It is found that the ne-cessity of position information increases with the amount of masking, and that masked language models without position encodings are not able to reconstruct this information on the task.	maybe	0	Word order, an essential property of natural languages, is injected in Transformer-based neural language models using position encoding. However, recent experiments have shown that explicit position encoding is not always useful, since some models without such feature managed to achieve state-of-the art performance on some tasks. To understand better this phenomenon, we examine the effect of removing position encodings on the pre-training objective itself (i.e., masked language modelling), to test whether models can reconstruct position information from co-occurrences alone. We do so by controlling the amount of masked tokens in the input sentence, as a proxy to affect the importance of position information for the task. We find that the necessity of position information increases with the amount of masking, and that masked language models without position encodings are not able to reconstruct this information on the task. These findings point towards a direct relationship between the amount of masking and the ability of Transformers to capture order-sensitive aspects of language using position encoding.	ca0f43ae0e80deeac39b71822e63928b56031132	@['JournalArticle', 'Conference']{lasri-etal-2022-word,  author = {Karim Lasri and Alessandro Lenci and T. Poibeau},  booktitle = {Conference on Empirical Methods in Natural Language Processing},  journal = {ArXiv},  title = {Word Order Matters When You Increase Masking},  volume = {abs/2211.04427},  year = {2022} }
Word Order Does Matter and Shuffled Language Models Know It	2022	http://www.semanticscholar.org/paper/d2c730502ab895c18bb241261f1efc4268008767	Surprisingly, even Language models trained on text shuffled after subword segmentation retain some semblance of information about word order because of the statistical dependencies between sentence length and unigram probabilities.	maybe	6	Recent studies have shown that language models pretrained and/or fine-tuned on randomly permuted sentences exhibit competitive performance on GLUE, putting into question the importance of word order information. Somewhat counter-intuitively, some of these studies also report that position embeddings appear to be crucial for models’ good performance with shuffled text. We probe these language models for word order information and investigate what position embeddings learned from shuffled text encode, showing that these models retain a notion of word order information. We show this is in part due to a subtlety in how shuffling is implemented in previous work – before rather than after subword segmentation. Surprisingly, we find even Language models trained on text shuffled after subword segmentation retain some semblance of information about word order because of the statistical dependencies between sentence length and unigram probabilities. Finally, we show that beyond GLUE, a variety of language understanding tasks do require word order information, often to an extent that cannot be learned through fine-tuning.	d2c730502ab895c18bb241261f1efc4268008767	@['JournalArticle', 'Conference']{ravishankar-etal-2022-word,  author = {Vinit Ravishankar and Mostafa Abdou and Artur Kulmizev and Anders Søgaard},  booktitle = {Annual Meeting of the Association for Computational Linguistics},  pages = {6907-6919},  title = {Word Order Does Matter and Shuffled Language Models Know It},  year = {2022} }
Word meaning in minds and machines	2020	http://www.semanticscholar.org/paper/19f4404f640f850521cc97bc75ddbe8f482fc85e	It is argued that contemporary NLP systems are fairly successful models of human word similarity, but they fall short in many other respects, and that they will be more successful, with a more human-like, conceptual basis for word meaning.	maybe	40	Machines have achieved a broad and growing set of linguistic competencies, thanks to recent progress in Natural Language Processing (NLP). Psychologists have shown increasing interest in such models, comparing their output to psychological judgments such as similarity, association, priming, and comprehension, raising the question of whether the models could serve as psychological theories. In this article, we compare how humans and machines represent the meaning of words. We argue that contemporary NLP systems are fairly successful models of human word similarity, but they fall short in many other respects. Current models are too strongly linked to the text-based patterns in large corpora, and too weakly linked to the desires, goals, and beliefs that people express through words. Word meanings must also be grounded in perception and action and be capable of flexible combinations in ways that current systems are not. We discuss promising approaches to grounding NLP systems and argue that they will be more successful, with a more human-like, conceptual basis for word meaning. (PsycInfo Database Record (c) 2021 APA, all rights reserved).	19f4404f640f850521cc97bc75ddbe8f482fc85e	@['JournalArticle']{lake-murphy-2020-word,  author = {B. Lake and G. Murphy},  booktitle = {Psychology Review},  journal = {Psychological review},  title = {Word meaning in minds and machines},  year = {2020} }
Word Frequency Does Not Predict Grammatical Knowledge in Language Models	2020	http://www.semanticscholar.org/paper/fcae937363a9e0804d8a255401deb55483c89677	Focusing on subject-verb agreement and reflexive anaphora, it is found that certain nouns are systematically understood better than others, an effect which is robust across grammatical tasks and different language models.	maybe	5	Neural language models learn, to varying degrees of accuracy, the grammatical properties of natural languages. In this work, we investigate whether there are systematic sources of variation in the language models’ accuracy. Focusing on subject-verb agreement and reflexive anaphora, we find that certain nouns are systematically understood better than others, an effect which is robust across grammatical tasks and different language models. Surprisingly, we find that across four orders of magnitude, corpus frequency is unrelated to a noun’s performance on grammatical tasks. Finally, we find that a novel noun’s grammatical properties can be few-shot learned from various types of training data. The results present a paradox: there should be less variation in grammatical performance than is actually observed.	fcae937363a9e0804d8a255401deb55483c89677	@['JournalArticle', 'Conference']{yu-etal-2020-word,  author = {Charles Yu and Ryan Sie and N. Tedeschi and Leon Bergen},  booktitle = {Conference on Empirical Methods in Natural Language Processing},  journal = {ArXiv},  title = {Word Frequency Does Not Predict Grammatical Knowledge in Language Models},  volume = {abs/2010.13870},  year = {2020} }
Word Acquisition in Neural Language Models	2021	http://www.semanticscholar.org/paper/18e736f814c6d64a27dc9ff088fb288bcac39002	It is found that the effects of concreteness, word length, and lexical class are pointedly different in children and language models, reinforcing the importance of interaction and sensorimotor experience in child language acquisition.	maybe	8	We investigate how neural language models acquire individual words during training, extracting learning curves and ages of acquisition for over 600 words on the MacArthur-Bates Communicative Development Inventory (Fenson et al., 2007). Drawing on studies of word acquisition in children, we evaluate multiple predictors for words’ ages of acquisition in LSTMs, BERT, and GPT-2. We find that the effects of concreteness, word length, and lexical class are pointedly different in children and language models, reinforcing the importance of interaction and sensorimotor experience in child language acquisition. Language models rely far more on word frequency than children, but, like children, they exhibit slower learning of words in longer utterances. Interestingly, models follow consistent patterns during training for both unidirectional and bidirectional models, and for both LSTM and Transformer architectures. Models predict based on unigram token frequencies early in training, before transitioning loosely to bigram probabilities, eventually converging on more nuanced predictions. These results shed light on the role of distributional learning mechanisms in children, while also providing insights for more human-like language acquisition in language models.	18e736f814c6d64a27dc9ff088fb288bcac39002	@['JournalArticle']{chang-bergen-2021-word,  author = {Tyler A. Chang and B. Bergen},  booktitle = {International Conference on Topology, Algebra and Categories in Logic},  journal = {Transactions of the Association for Computational Linguistics},  pages = {1-16},  title = {Word Acquisition in Neural Language Models},  volume = {10},  year = {2021} }
Will You Find These Shortcuts? A Protocol for Evaluating the Faithfulness of Input Salience Methods for Text Classification	2021	http://www.semanticscholar.org/paper/1818e24137383ece9b2f379a63674b2632e16d04	This work proposes a protocol for faithfulness evaluation that makes use of partially synthetic data to obtain ground truth for feature importance ranking and does an in-depth analysis of four standard salience method classes on a range of datasets and lexical shortcuts for BERT and LSTM models.	maybe	19	Feature attribution a.k.a. input salience methods which assign an importance score to a feature are abundant but may produce surprisingly different results for the same model on the same input. While differences are expected if disparate definitions of importance are assumed, most methods claim to provide faithful attributions and point at the features most relevant for a model’s prediction. Existing work on faithfulness evaluation is not conclusive and does not provide a clear answer as to how different methods are to be compared.Focusing on text classification and the model debugging scenario, our main contribution is a protocol for faithfulness evaluation that makes use of partially synthetic data to obtain ground truth for feature importance ranking. Following the protocol, we do an in-depth analysis of four standard salience method classes on a range of datasets and lexical shortcuts for BERT and LSTM models. We demonstrate that some of the most popular method configurations provide poor results even for simple shortcuts while a method judged to be too simplistic works remarkably well for BERT.	1818e24137383ece9b2f379a63674b2632e16d04	@['JournalArticle', 'Conference']{bastings-etal-2021-“will,  author = {Jasmijn Bastings and Sebastian Ebert and Polina Zablotskaia and Anders Sandholm and Katja Filippova},  booktitle = {Conference on Empirical Methods in Natural Language Processing},  journal = {ArXiv},  title = {“Will You Find These Shortcuts?” A Protocol for Evaluating the Faithfulness of Input Salience Methods for Text Classification},  volume = {abs/2111.07367},  year = {2021} }
WhyGen: Explaining ML-powered Code Generation by Referring to Training Examples	2022	http://www.semanticscholar.org/paper/0c6c5e0fb38c28e50909cd5e165737636abf804b	This work introduces a tool, named WhyGen, to explain the generated code by referring to training examples, and introduces a data structure, named inference fingerprint, to represent the decision process of the model when generating a prediction.	maybe	1	Deep learning has demonstrated great abilities in various code generation tasks. However, despite the great convenience for some developers, many are concerned that the code generators may recite or closely mimic copyrighted training data without user awareness, leading to legal and ethical concerns. To ease this problem, we introduce a tool, named WhyGen, to explain the generated code by referring to training examples. Specifically, we first introduce a data structure, named inference fingerprint, to represent the decision process of the model when generating a prediction. The fingerprints of all training examples are collected offline and saved to a database. When the model is used at runtime for code generation, the most relevant training examples can be retrieved by querying the fingerprint database. Our experiments have shown that WhyGen is able to precisely notify the users about possible recitations and highly similar imitations with a top-10 accuracy of 81.21%. The demo video can be found at https://youtu.be/EtoQP6850To.	0c6c5e0fb38c28e50909cd5e165737636abf804b	@['Book', 'JournalArticle', 'Conference']{yan-li-2022-whygen:,  author = {Weixiang Yan and Yuanchun Li},  booktitle = {2022 IEEE/ACM 44th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion)},  journal = {2022 IEEE/ACM 44th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion)},  pages = {237-241},  title = {WhyGen: Explaining ML-powered Code Generation by Referring to Training Examples},  year = {2022} }
Why Machine Reading Comprehension Models Learn Shortcuts?	2021	http://www.semanticscholar.org/paper/476afc913d63f3ba1882f6419f718984379b2380	It is argued that larger proportion of shortcut questions in training data make models rely on shortcut tricks excessively, and two new methods are proposed to quantitatively analyze the learning difficulty regarding shortcut and challenging questions, and revealing the inherent learning mechanism behind the different performance between the two kinds of questions.	maybe	15	Recent studies report that many machine reading comprehension (MRC) models can perform closely to or even better than humans on benchmark datasets. However, existing works indicate that many MRC models may learn shortcuts to outwit these benchmarks, but the performance is unsatisfactory in real-world applications. In this work, we attempt to explore, instead of the expected comprehension skills, why these models learn the shortcuts. Based on the observation that a large portion of questions in current datasets have shortcut solutions, we argue that larger proportion of shortcut questions in training data make models rely on shortcut tricks excessively. To investigate this hypothesis, we carefully design two synthetic datasets with annotations that indicate whether a question can be answered using shortcut solutions. We further propose two new methods to quantitatively analyze the learning difficulty regarding shortcut and challenging questions, and revealing the inherent learning mechanism behind the different performance between the two kinds of questions. A thorough empirical analysis shows that MRC models tend to learn shortcut questions earlier than challenging questions, and the high proportions of shortcut questions in training sets hinder models from exploring the sophisticated reasoning skills in the later stage of training.	476afc913d63f3ba1882f6419f718984379b2380	@['JournalArticle']{lai-etal-2021-why,  author = {Yuxuan Lai and Chen Zhang and Yansong Feng and Quzhe Huang and Dongyan Zhao},  booktitle = {Findings},  pages = {989-1002},  title = {Why Machine Reading Comprehension Models Learn Shortcuts?},  year = {2021} }
Why Does Surprisal From Larger Transformer-Based Language Models Provide a Poorer Fit to Human Reading Times?	2022	http://www.semanticscholar.org/paper/eaee0b647d336c6fc8b844812675ec35cddf14a1		maybe	0	This work presents a detailed linguistic analysis into why larger Transformer-based pre-trained language models with more parameters and lower perplexity nonetheless yield surprisal estimates that are less predictive of human reading times. First, regression analyses show a strictly monotonic, positive log-linear relationship between perplexity and ﬁt to reading times for the more recently released ﬁve GPT-Neo variants and eight OPT variants on two separate datasets, replicating earlier results limited to just GPT-2 (Oh et al., 2022). Subsequently, analysis of residual errors reveals a systematic deviation of the larger variants, such as underpredicting reading times of named entities and making compensatory overpredictions for reading times of function words such as modals and conjunctions. These results suggest that the propensity of larger Transformer-based models to ‘memo-rize’ sequences during training makes their surprisal estimates diverge from humanlike expectations, which warrants caution in using pre-trained language models to study human language processing.	eaee0b647d336c6fc8b844812675ec35cddf14a1	@['JournalArticle']{oh-schuler-2022-why,  author = {Byung-Doh Oh and William Schuler},  booktitle = {ArXiv},  journal = {ArXiv},  title = {Why Does Surprisal From Larger Transformer-Based Language Models Provide a Poorer Fit to Human Reading Times?},  volume = {abs/2212.12131},  year = {2022} }
Why Do Neural Language Models Still Need Commonsense Knowledge to Handle Semantic Variations in Question Answering?	2022	http://www.semanticscholar.org/paper/3b44755822ab3ee23e0802f34f3ef5debdc6f0c8	The possibility to overcome the limitations of the MNLM-based RC models by enriching text with the required knowledge from an external commonsense knowledge repository in controlled experiments is exemplified.	maybe	0	Many contextualized word representations are now learned by intricate neural network models, such as masked neural language models (MNLMs) which are made up of huge neural network structures and trained to restore the masked text. Such representations demonstrate superhuman performance in some reading comprehension (RC) tasks which extract a proper answer in the context given a question. However, identifying the detailed knowledge trained in MNLMs is challenging owing to numerous and intermingled model parameters. This paper provides new insights and empirical analyses on commonsense knowledge included in pretrained MNLMs. First, we use a diagnostic test that evaluates whether commonsense knowledge is properly trained in MNLMs. We observe that a large proportion of commonsense knowledge is not appropriately trained in MNLMs and MNLMs do not often understand the semantic meaning of relations accurately. In addition, we ﬁnd that the MNLM-based RC models are still vulnerable to semantic variations that require commonsense knowledge. Finally, we discover the fundamental reason why some knowledge is not trained. We further suggest that utilizing an external commonsense knowledge repository can be an effective solution. We exemplify the possibility to overcome the limitations of the MNLM-based RC models by enriching text with the required knowledge from an external commonsense knowledge repository in controlled experiments.	3b44755822ab3ee23e0802f34f3ef5debdc6f0c8	@['JournalArticle']{kwon-etal-2022-why,  author = {Sunjae Kwon and Cheongwoong Kang and Jiyeon Han and Jaesik Choi},  booktitle = {ArXiv},  journal = {ArXiv},  title = {Why Do Neural Language Models Still Need Commonsense Knowledge to Handle Semantic Variations in Question Answering?},  volume = {abs/2209.00599},  year = {2022} }
Why Do Masked Neural Language Models Still Need Common Sense Knowledge?	2019	http://www.semanticscholar.org/paper/e9062386b2f56b9b5bb37b3dda7855481b6bea6b	A test that measures what types of common sense knowledge do pretrained MNLMs understand is proposed and it is experimentally demonstrated that existing MNLM-based models can be elevated by combining knowledge from an external common sense repository.	maybe	12	Currently, contextualized word representations are learned by intricate neural network models, such as masked neural language models (MNLMs). The new representations significantly enhanced the performance in automated question answering by reading paragraphs. However, identifying the detailed knowledge trained in the MNLMs is difficult owing to numerous and intermingled parameters. This paper provides empirical but insightful analyses on the pretrained MNLMs with respect to common sense knowledge. First, we propose a test that measures what types of common sense knowledge do pretrained MNLMs understand. From the test, we observed that MNLMs partially understand various types of common sense knowledge but do not accurately understand the semantic meaning of relations. In addition, based on the difficulty of the question-answering task problems, we observed that pretrained MLM-based models are still vulnerable to problems that require common sense knowledge. We also experimentally demonstrated that we can elevate existing MNLM-based models by combining knowledge from an external common sense repository.	e9062386b2f56b9b5bb37b3dda7855481b6bea6b	@['JournalArticle']{kwon-etal-2019-why,  author = {Sunjae Kwon and Cheongwoong Kang and Jiyeon Han and Jaesik Choi},  booktitle = {ArXiv},  journal = {ArXiv},  title = {Why Do Masked Neural Language Models Still Need Common Sense Knowledge?},  volume = {abs/1911.03024},  year = {2019} }
